Lines	Selfing_Gens	Dosage	Nmut	Mutation_Rate	Ti	Ti_Rate	Tv	Tv_Rate	TiTv_Ratio	AT2GC_Rate	GC2AT_Rate	AT2CG_Rate	AT2TA_Rate	GC2TA_Rate	CG2GC_Rate
BertMN01-1	10	NA	2	-5.13066720554527e-08	2	-3.55689839190336e-08	0	-1.43901644113523e-08	2.47175660418262	-7.15469788705283e-09	-8.61880856665026e-08	-4.7357315292876e-09	-4.7357315292876e-09	-1.26128905853418e-08	-1.05107421544515e-08
Bert1MN01-2	10	NA	1	-5.24566062818808e-08	1	-3.67189188165593e-08	0	-1.43901644113523e-08	2.55166777577552	-1.06553959408971e-08	-8.28357537836222e-08	-4.7357315292876e-09	-4.7357315292876e-09	-1.26128905853418e-08	-1.05107421544515e-08
WPT389	1	NA	18	3.54073847762636e-08	11	2.10707767978747e-08	7	1.44861943794342e-08	1.45454190700275	1.2806469241299e-08	3.73207497251152e-08	6.46893730799979e-09	2.97165790459872e-09	5.59464700591196e-09	1.22296393176957e-08
WPT391	1	NA	2	-1.3545750248596e-09	1	-1.90546148667065e-09	1	7.00451408706963e-10	-2.72033357772546	-1.18264837230528e-09	-2.8679477301974e-09	-5.25621498802345e-10	-5.25621498802345e-10	2.09736760251089e-09	-1.16659316740848e-09
FN1	1	0	41	8.82527019903782e-08	20	4.17493912539655e-08	21	4.66529279777976e-08	0.894893269589301	1.63037486447001e-08	9.09056796655321e-08	9.96621671140085e-09	2.39553343250051e-08	2.30810440229173e-08	2.56258718027999e-08
FN2	4	16	45	3.57068610350182e-08	32	2.54827013095484e-08	13	1.0712761972776e-08	2.37872374783522	1.1058407438314e-08	5.44867455936852e-08	5.74383249783461e-09	7.60904817964851e-09	2.88781751101438e-09	-3.81087101353436e-09
FN3	4	16	42	3.20306650549058e-08	28	2.05811038088454e-08	14	1.19381613479518e-08	1.72397601347351	3.59754471105837e-09	5.44867455936852e-08	3.87861681602071e-09	5.74383249783461e-09	1.02260182920048e-09	1.04784436372435e-08
FN4	4	16	41	3.08052663948684e-08	28	2.05811038088454e-08	13	1.0712761972776e-08	1.921176243918	7.32797607468617e-09	4.73420882682963e-08	3.87861681602071e-09	7.60904817964851e-09	1.02260182920048e-09	3.33378631185456e-09
FN5	4	16	76	7.36942194961788e-08	45	4.14128931868332e-08	31	3.27699507259396e-08	1.26374597060508	2.22497015291974e-08	7.94930462325464e-08	5.74383249783461e-09	2.99916363614153e-08	6.61824887464218e-09	1.04784436372435e-08
FN6	3	16	49	4.98838667948228e-08	29	2.78674162490854e-08	20	2.23797107343791e-08	1.24520895644447	1.51138623133212e-08	5.33180302667753e-08	6.71727213925388e-09	1.271260825937e-08	8.59088643807038e-09	8.64933015209731e-09
FN7	5	32	58	4.40215125311338e-08	43	3.3502167365341e-08	15	1.11417573123113e-08	3.00690155298231	9.51903624541792e-09	8.11910594627256e-08	1.42283121172037e-09	6.83797351376073e-09	5.00484517457e-09	2.05965165051529e-09
FN8	4	16	62	5.65386382556547e-08	32	2.54827013095484e-08	30	3.15445513507638e-08	0.807832104701385	1.1058407438314e-08	5.44867455936852e-08	1.88003422705319e-08	1.13394795432763e-08	1.034868023827e-08	1.04784436372435e-08
FN9	4	16	50	4.18338543352054e-08	34	2.79335000598999e-08	16	1.43889600983033e-08	1.94131472108216	2.9710564256453e-08	2.59081162921296e-08	5.74383249783461e-09	1.13394795432763e-08	-8.42613852613423e-10	6.90611497454901e-09
FN10	3	32	73	8.13941180529284e-08	44	4.75613347786957e-08	29	3.41960618521453e-08	1.39084245970598	2.51060891801814e-08	9.15929802242159e-08	1.0714162885998e-08	1.4711053632742e-08	1.65846679315585e-08	1.63043201435854e-08
FN11	3	32	44	4.33192311160508e-08	26	2.39286325431633e-08	18	1.97538549304311e-08	1.21133989428569	3.12319007308901e-09	6.48005152540074e-08	4.71882676588184e-09	1.0714162885998e-08	1.25877771848145e-08	9.9434016060919e-10
